year,mileage_km,power_kw,objem_motoru,price_czk
2018,186040.0,85.0,1.6,200000.0
2018,140209.0,85.0,1.6,100000.0
2018,140209.0,85.0,1.6,100000.0
2013,140214.0,103.0,1.4,100000.0
2013,140214.0,103.0,1.4,100000.0
2012,168539.0,103.0,2.0,100000.0
2012,168539.0,103.0,2.0,100000.0
2020,51835.0,81.0,1.5,170000.0
2020,51835.0,81.0,1.5,170000.0
2015,213723.0,77.0,1.6,140000.0
2015,213723.0,77.0,1.6,140000.0
2014,133777.0,84.0,1.6,190000.0
2014,133777.0,84.0,1.6,190000.0
2015,106053.0,51.0,1.0,260000.0
2015,106053.0,51.0,1.0,260000.0
2025,12.0,130.0,1.5,600000.0
2025,12.0,130.0,1.5,600000.0
2016,97306.0,110.0,1.4,350000.0
2016,97306.0,110.0,1.4,350000.0
2021,90071.0,118.0,1.5,160000.0
2021,90071.0,118.0,1.5,160000.0
2016,171317.0,96.0,1.6,200000.0
2016,171317.0,96.0,1.6,200000.0
2010,230447.0,77.0,1.6,160000.0
2010,230447.0,77.0,1.6,160000.0
2021,61953.0,117.0,1.5,240000.0
2021,61953.0,117.0,1.5,240000.0
2025,6218.0,110.0,1.5,1799000.0
2025,6218.0,110.0,1.5,1799000.0
2011,151237.0,103.0,2.0,200000.0
2011,151237.0,103.0,2.0,200000.0
2019,71552.0,103.0,1.4,300000.0
2019,71552.0,103.0,1.4,300000.0
2014,156502.0,66.0,0.9,100000.0
2014,156502.0,66.0,0.9,100000.0
2015,139483.0,81.0,1.6,450000.0
2015,139483.0,81.0,1.6,450000.0
2018,61885.0,63.0,1.1,160000.0
2018,61885.0,63.0,1.1,160000.0
2010,156685.0,85.0,2.0,140000.0
2010,156685.0,85.0,2.0,140000.0
2021,162114.0,70.0,1.0,50000.0
2021,162114.0,70.0,1.0,50000.0
2016,123160.0,85.0,1.2,100000.0
2016,123160.0,85.0,1.2,100000.0
2016,239400.0,110.0,2.0,160000.0
2016,239400.0,110.0,2.0,160000.0
2008,51790.0,75.0,1.5,210000.0
2008,51790.0,75.0,1.5,210000.0
